,country,year,sector,emissions,emissions_change
182,Germany,2018,Transport,74787947.4,
185,Germany,2019,Transport,73863429.23,-924518.1700000018
188,Germany,2020,Transport,50205063.6,-23658365.630000003
191,Germany,2021,Transport,55183222.81,4978159.210000001
194,Germany,2022,Transport,63687635.04,8504412.229999997
197,Germany,2023,Transport,62178288.28,-1509346.759999998
198,Greece,2018,Energy,33955978.09,
201,Greece,2019,Energy,28069673.09,-5886305.000000004
204,Greece,2020,Energy,20399437.45,-7670235.640000001
207,Greece,2021,Energy,20563684.6,164247.15000000224
210,Greece,2022,Energy,19299931.76,-1263752.8399999999
213,Greece,2023,Energy,15759820.7,-3540111.0600000024
199,Greece,2018,Industry,21463017.319999997,
202,Greece,2019,Industry,19751029.18,-1711988.1399999969
205,Greece,2020,Industry,17823810.77,-1927218.4100000001
208,Greece,2021,Industry,18932131.96,1108321.1900000013
211,Greece,2022,Industry,18122923.45,-809208.5100000016
214,Greece,2023,Industry,17842776.23,-280147.2199999988
200,Greece,2018,Transport,20658500.28,
203,Greece,2019,Transport,21784382.17,1125881.8900000006
206,Greece,2020,Transport,19764690.03,-2019692.1400000006
209,Greece,2021,Transport,19496650.23,-268039.80000000075
212,Greece,2022,Transport,16549408.0,-2947242.2300000004
215,Greece,2023,Transport,17111681.93,562273.9299999997
216,Hungary,2018,Energy,12614704.07,
219,Hungary,2019,Energy,12145953.39,-468750.6799999997
222,Hungary,2020,Energy,11889498.67,-256454.72000000067
225,Hungary,2021,Energy,11074975.19,-814523.4800000004
228,Hungary,2022,Energy,10218458.83,-856516.3599999994
231,Hungary,2023,Energy,8476424.53,-1742034.3000000007
217,Hungary,2018,Industry,14021462.13,
220,Hungary,2019,Industry,13777377.17,-244084.9600000009
223,Hungary,2020,Industry,13089736.02,-687641.1500000004
226,Hungary,2021,Industry,12890272.65,-199463.36999999918
229,Hungary,2022,Industry,11135264.48,-1755008.17
232,Hungary,2023,Industry,10373058.47,-762206.0099999998
218,Hungary,2018,Transport,7308391.66,
221,Hungary,2019,Transport,6729491.76,-578899.9000000004
224,Hungary,2020,Transport,4854864.3,-1874627.46
227,Hungary,2021,Transport,5680355.59,825491.29
230,Hungary,2022,Transport,8005790.47,2325434.88
233,Hungary,2023,Transport,7069783.62,-936006.8499999996
234,Ireland,2018,Energy,10107735.16,
237,Ireland,2019,Energy,8923834.58,-1183900.58
240,Ireland,2020,Energy,8273081.11,-650753.4699999997
243,Ireland,2021,Energy,9820296.95,1547215.839999999
246,Ireland,2022,Energy,9646411.39,-173885.55999999866
249,Ireland,2023,Energy,7564070.68,-2082340.710000001
235,Ireland,2018,Industry,7576030.34,
238,Ireland,2019,Industry,7409871.0,-166159.33999999985
241,Ireland,2020,Industry,7262181.26,-147689.74000000022
244,Ireland,2021,Industry,7641080.06,378898.7999999998
247,Ireland,2022,Industry,7265405.73,-375674.32999999914
250,Ireland,2023,Industry,6824242.36,-441163.3700000001
236,Ireland,2018,Transport,22815082.16,
239,Ireland,2019,Transport,23084093.56,269011.3999999985
242,Ireland,2020,Transport,10863376.4,-12220717.159999998
245,Ireland,2021,Transport,11166098.9,302722.5
248,Ireland,2022,Transport,19206914.73,8040815.83
251,Ireland,2023,Transport,21285703.93,2078789.1999999993
252,Italy,2018,Energy,87542695.3,
255,Italy,2019,Energy,83047128.48,-4495566.819999993
258,Italy,2020,Energy,74293634.92,-8753493.560000002
261,Italy,2021,Energy,77250002.87,2956367.950000003
264,Italy,2022,Energy,83585214.86,6335211.989999995
267,Italy,2023,Energy,63809161.6,-19776053.259999998
253,Italy,2018,Industry,99494684.45,
256,Italy,2019,Industry,94225373.0,-5269311.450000003
259,Italy,2020,Industry,84781988.99,-9443384.010000005
262,Italy,2021,Industry,97032416.41,12250427.420000002
265,Italy,2022,Industry,94713616.91,-2318799.5
268,Italy,2023,Industry,89104718.64,-5608898.269999996
254,Italy,2018,Transport,40529664.91,
257,Italy,2019,Transport,42435032.41,1905367.5
260,Italy,2020,Transport,33168749.05,-9266283.359999996
263,Italy,2021,Transport,37455881.85,4287132.800000001
266,Italy,2022,Transport,38812905.86,1357024.009999998
269,Italy,2023,Transport,41766085.42,2953179.5600000024
270,Latvia,2018,Energy,2046600.33,
273,Latvia,2019,Energy,1965847.55,-80752.78000000003
276,Latvia,2020,Energy,1506416.8,-459430.75
279,Latvia,2021,Energy,1575162.7,68745.8999999999
282,Latvia,2022,Energy,1115777.17,-459385.53
285,Latvia,2023,Energy,1119949.7,4172.530000000028
